Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6163219181447452,0.6063887384948565,0.47756102760899694,0.5343192796231141,0.6504246809323598
Random Forest,0.6224635188915639,0.612013201320132,0.49419038482038163,0.546827081858929,0.662260630046934
XGBoost,0.6223652532796148,0.5977621409620487,0.5523931350602281,0.5741828254847645,0.6635425511413124
